architecture,run,decision_type,kendall_tau,spearman_rho,top1_accuracy,top2_accuracy,overall_mae,overall_rmse,overall_rmse_mae_ratio,energy_cost_mae,environmental_mae,comfort_mae,practicality_mae,energy_cost_rmse,environmental_rmse,comfort_rmse,practicality_rmse,n_scenarios,n_failed,n_total,model
Direct_LLM_Scoring,5,Appliance,-0.0154,-0.0692,0.2308,0.6,0.2754,0.3632,1.3188,0.3345,0.3682,0.1781,0.2208,0.4144,0.4423,0.2691,0.2965,65,0,0,gemini
Direct_LLM_Scoring,5,Shower,0.6333,0.6833,0.6167,0.9167,0.1374,0.184,1.3392,0.1064,0.0824,0.1413,0.2193,0.1387,0.113,0.191,0.2587,60,0,0,gemini
Example-Guided_LLM_Scoring,1,Overall,0.2815,0.2979,0.456,0.8031,0.1588,0.2339,1.4729,0.1778,0.1658,0.1395,0.1522,0.2558,0.2508,0.2087,0.2168,193,2,195,gemini
Example-Guided_LLM_Scoring,1,HVAC,-0.1304,-0.1014,0.1304,0.7101,0.2027,0.2757,1.3601,0.2554,0.2529,0.146,0.1563,0.3406,0.3365,0.1862,0.2006,69,0,0,gemini
Example-Guided_LLM_Scoring,1,Appliance,0.2923,0.2769,0.5385,0.7385,0.1611,0.2435,1.5115,0.1701,0.1545,0.1611,0.1587,0.2337,0.2352,0.251,0.2536,65,0,0,gemini
Example-Guided_LLM_Scoring,1,Shower,0.7514,0.7881,0.7458,0.9831,0.1051,0.1573,1.4967,0.0955,0.0763,0.1081,0.1405,0.135,0.1112,0.1803,0.1894,59,0,0,gemini
Example-Guided_LLM_Scoring,2,Overall,0.3333,0.3523,0.5078,0.7927,0.1573,0.2313,1.4704,0.1765,0.1663,0.1369,0.1497,0.2522,0.2506,0.2053,0.2134,193,2,195,gemini
Example-Guided_LLM_Scoring,2,HVAC,-0.0725,-0.0435,0.2319,0.6377,0.2026,0.275,1.3574,0.2547,0.2535,0.1473,0.155,0.3388,0.3366,0.1882,0.1977,69,0,0,gemini
Example-Guided_LLM_Scoring,2,Appliance,0.3542,0.3516,0.5625,0.7812,0.1586,0.2398,1.512,0.1667,0.1571,0.1537,0.157,0.2251,0.237,0.243,0.2532,64,0,0,gemini
Example-Guided_LLM_Scoring,2,Shower,0.7778,0.8083,0.7667,0.9833,0.1039,0.1543,1.4851,0.0969,0.0757,0.1071,0.1358,0.1362,0.1084,0.1784,0.1821,60,0,0,gemini
Example-Guided_LLM_Scoring,3,Overall,0.3019,0.3194,0.4712,0.7906,0.1585,0.2325,1.4669,0.1782,0.168,0.1362,0.1516,0.2539,0.2508,0.2045,0.2169,191,4,195,gemini
Example-Guided_LLM_Scoring,3,HVAC,-0.1238,-0.1071,0.1286,0.6714,0.2026,0.2748,1.3564,0.2589,0.2563,0.1409,0.1542,0.341,0.3368,0.1802,0.1999,70,0,0,gemini
Example-Guided_LLM_Scoring,3,Appliance,0.3333,0.3333,0.5556,0.746,0.1596,0.2392,1.4987,0.1656,0.1534,0.1581,0.1614,0.2226,0.231,0.2461,0.2559,63,0,0,gemini
Example-Guided_LLM_Scoring,3,Shower,0.7816,0.819,0.7931,0.9828,0.1041,0.1571,1.5091,0.0946,0.0771,0.1069,0.1379,0.1345,0.1108,0.181,0.1886,58,0,0,gemini
Example-Guided_LLM_Scoring,4,Overall,0.3014,0.3112,0.4628,0.7872,0.1595,0.2317,1.4527,0.178,0.1674,0.1398,0.1527,0.2506,0.2498,0.2063,0.2167,188,7,195,gemini
Example-Guided_LLM_Scoring,4,HVAC,-0.1143,-0.0929,0.1429,0.6571,0.1988,0.2698,1.3571,0.2525,0.251,0.142,0.1497,0.334,0.3318,0.1801,0.1924,70,0,0,gemini
Example-Guided_LLM_Scoring,4,Appliance,0.3545,0.3333,0.5556,0.7619,0.1595,0.2373,1.4878,0.161,0.1518,0.162,0.1632,0.2151,0.2298,0.2472,0.2552,63,0,0,gemini
Example-Guided_LLM_Scoring,4,Shower,0.7697,0.8,0.7636,0.9818,0.1094,0.1625,1.4854,0.1026,0.079,0.1116,0.1445,0.1406,0.1132,0.1848,0.1971,55,0,0,gemini
Example-Guided_LLM_Scoring,5,Overall,0.3053,0.3211,0.4632,0.7947,0.1599,0.2343,1.4653,0.1806,0.1659,0.1376,0.1554,0.2596,0.2509,0.2036,0.2185,190,5,195,gemini
Example-Guided_LLM_Scoring,5,HVAC,-0.1401,-0.1232,0.1304,0.6522,0.2081,0.2833,1.3614,0.2665,0.264,0.1421,0.16,0.3529,0.3483,0.1827,0.2045,69,0,0,gemini
