model,arch,run,decision_type,tau,tau_csv,top1,top1_csv,mae,mae_csv,n,n_csv,max_abs_diff
qwen,A_H,2,Appliance,0.8974,0.8974,0.9231,0.9231,0.1185,0.1185,65,65,0.0
qwen,A_H,2,Shower,0.8889,0.8889,0.9167,0.9167,0.0371,0.0371,60,60,0.0
qwen,A_H,3,Overall,0.8598,0.8598,0.8872,0.8872,0.0731,0.0731,195,195,0.0
qwen,A_H,3,HVAC,0.8762,0.8762,0.8714,0.8714,0.0551,0.0551,70,70,0.0
qwen,A_H,3,Appliance,0.9077,0.9077,0.9385,0.9385,0.1207,0.1207,65,65,0.0
qwen,A_H,3,Shower,0.7889,0.7889,0.85,0.85,0.0425,0.0425,60,60,0.0
qwen,A_H,4,Overall,0.8797,0.8797,0.8918,0.8918,0.0731,0.0731,194,194,0.0
qwen,A_H,4,HVAC,0.8841,0.8841,0.8696,0.8696,0.059,0.059,69,69,0.0
qwen,A_H,4,Appliance,0.8872,0.8872,0.9077,0.9077,0.1193,0.1193,65,65,0.0
qwen,A_H,4,Shower,0.8667,0.8667,0.9,0.9,0.0393,0.0393,60,60,0.0
qwen,A_H,5,Overall,0.8838,0.8838,0.8974,0.8974,0.0706,0.0706,195,195,0.0
qwen,A_H,5,HVAC,0.8857,0.8857,0.8714,0.8714,0.0613,0.0613,70,70,0.0
qwen,A_H,5,Appliance,0.9179,0.9179,0.9385,0.9385,0.108,0.108,65,65,0.0
qwen,A_H,5,Shower,0.8444,0.8444,0.8833,0.8833,0.041,0.041,60,60,0.0
