model,comparison,scope,metric,mean_ah,mean_base,mean_diff,n_pairs,n_nonzero_diff,n_ah_better,n_base_better,p_value,cliff_delta_ah_minus_base,cliff_interp,statistic,p_holm,family,significant_holm
gptoss,AH vs FD+time,HVAC,top1,0.9384057971014492,0.9565217391304348,-0.018115942028985508,69,4,1,3,0.5807121621890252,-0.027725267800882167,negligible,3.5,1.0,bytype36,False
gptoss,AH vs FD+time,HVAC,mae,0.05297483896940419,0.0707367149758454,-0.017761876006441222,69,69,50,19,0.00017143587116658695,-0.23776517538332284,small,579.0,0.005828819619663956,bytype36,True
gptoss,AH vs FD+time,Appliance,kendall_tau,0.9671794871794873,0.9589743589743589,0.008205128205128212,65,9,4,5,0.36959998429278107,-0.010650887573964497,negligible,15.0,1.0,bytype36,False
gptoss,AH vs FD+time,Appliance,top1,0.9876923076923078,1.0,-0.012307692307692308,65,1,0,1,0.31731050786291415,-0.015384615384615385,negligible,0.0,1.0,bytype36,False
gptoss,AH vs FD+time,Appliance,mae,0.0515,0.0566025641025641,-0.0051025641025641034,65,64,25,39,0.7280270291335116,0.10792899408284023,negligible,988.0,1.0,bytype36,False
gptoss,AH vs FD+time,Shower,kendall_tau,0.7866666666666666,0.8000000000000002,-0.013333333333333315,60,23,9,14,0.8750247081235363,-0.14,negligible,144.5,1.0,bytype36,False
gptoss,AH vs FD+time,Shower,top1,0.8233333333333335,0.85,-0.02666666666666667,60,22,8,14,0.5898403057082504,-0.15,small,110.0,1.0,bytype36,False
gptoss,AH vs FD+time,Shower,mae,0.05281388888888889,0.05929166666666665,-0.00647777777777778,60,46,24,22,0.21923994553635073,-0.035555555555555556,negligible,489.0,1.0,bytype36,False
qwen,AH vs LU,Overall,kendall_tau,0.8793162393162394,0.9247863247863248,-0.045470085470085464,195,45,15,30,0.23529758836826886,-0.0930440499671269,negligible,452.0,1.0,overall12,False
qwen,AH vs LU,Overall,top1,0.8964102564102565,0.9435897435897436,-0.047179487179487174,195,32,8,24,0.05861808695936718,-0.09706771860618015,negligible,164.0,0.41032660871557025,overall12,False
qwen,AH vs LU,Overall,mae,0.07175705128205127,0.03979059829059829,0.03196645299145299,195,171,61,110,2.7562347093786812e-05,0.22201183431952662,small,5276.0,0.00033074816512544176,overall12,True
qwen,AH vs LU,HVAC,kendall_tau,0.879047619047619,0.9714285714285714,-0.09238095238095237,70,13,1,12,0.008819613394568522,-0.16591836734693877,small,14.0,0.2645884018370557,bytype36,False
qwen,AH vs LU,HVAC,top1,0.8714285714285714,0.9714285714285714,-0.1,70,10,0,10,0.004455352355471741,-0.13959183673469389,negligible,0.0,0.13811592301962397,bytype36,False
qwen,AH vs LU,HVAC,mae,0.05664464285714285,0.029083333333333336,0.02756130952380952,70,66,18,48,5.127916051048196e-05,0.31857142857142856,small,550.5,0.0017947706178668686,bytype36,True
qwen,AH vs LU,Appliance,kendall_tau,0.9056410256410257,0.9589743589743589,-0.05333333333333334,65,12,4,8,0.30557862222302246,-0.06153846153846154,negligible,26.0,1.0,bytype36,False
qwen,AH vs LU,Appliance,top1,0.9292307692307692,1.0,-0.07076923076923076,65,6,0,6,0.02354410241255278,-0.09230769230769231,negligible,0.0,0.6592348675514779,bytype36,False
qwen,AH vs LU,Appliance,mae,0.11764102564102563,0.0566025641025641,0.06103846153846154,65,62,23,39,0.0015604585762034073,0.34745562130177515,medium,567.0,0.04993467443850903,bytype36,True
qwen,AH vs LU,Shower,kendall_tau,0.8511111111111112,0.8333333333333334,0.017777777777777788,60,20,10,10,0.5005821170451185,-0.036944444444444446,negligible,87.0,1.0,bytype36,False
qwen,AH vs LU,Shower,top1,0.8899999999999999,0.85,0.04000000000000001,60,16,8,8,0.4637609180129866,-0.04416666666666667,negligible,54.0,1.0,bytype36,False
qwen,AH vs LU,Shower,mae,0.03968055555555556,0.03406944444444445,0.005611111111111112,60,43,20,23,0.5821273703776104,0.059166666666666666,negligible,512.0,1.0,bytype36,False
qwen,AH vs LU-corpus,Overall,kendall_tau,0.8793162393162394,0.9384615384615385,-0.05914529914529913,195,36,7,29,0.002729478057847098,-0.12084155161078237,negligible,175.5,0.019106346404929683,overall12,True
