model,arch,run,decision_type,n,mean_regret,mean_norm_regret,zero_regret_share,top1,n_miss,mean_regret_given_miss,zero_regret_share_given_miss,max_regret,random_pick_regret
deepseek,A_E,2,Appliance,65,0.024746153846153852,0.1800047806375631,0.7538461538461538,0.7538461538461538,16,0.10053125000000002,0.0,0.22450000000000003,0.0898051282051282
deepseek,A_E,2,Shower,60,0.027025000000000004,0.17336709376639076,0.6666666666666666,0.6666666666666666,20,0.08107500000000001,0.0,0.19150000000000003,0.08522499999999998
deepseek,A_E,3,Overall,195,0.03773076923076924,0.34637108724522325,0.49743589743589745,0.49743589743589745,98,0.07507653061224491,0.0,0.311,0.06951794871794871
deepseek,A_E,3,HVAC,70,0.03632857142857143,0.4800661893099373,0.2857142857142857,0.2857142857142857,50,0.05086000000000002,0.0,0.169,0.037216666666666676
deepseek,A_E,3,Appliance,65,0.037876923076923086,0.26862140041471294,0.6307692307692307,0.6307692307692307,24,0.10258333333333335,0.0,0.22450000000000003,0.0898051282051282
deepseek,A_E,3,Shower,60,0.03920833333333333,0.2746222955694429,0.6,0.6,24,0.09802083333333333,0.0,0.311,0.08522499999999998
deepseek,A_E,4,Overall,195,0.03976410256410257,0.31493358390015425,0.5282051282051282,0.5282051282051282,92,0.08428260869565218,0.0,0.6319999999999999,0.06951794871794871
deepseek,A_E,4,HVAC,70,0.03601428571428572,0.42319853581228667,0.37142857142857144,0.37142857142857144,44,0.057295454545454566,0.0,0.20699999999999985,0.037216666666666676
deepseek,A_E,4,Appliance,65,0.03421538461538462,0.23829667620950085,0.6615384615384615,0.6615384615384615,22,0.1010909090909091,0.0,0.22450000000000003,0.0898051282051282
deepseek,A_E,4,Shower,60,0.05015,0.2716477900008742,0.5666666666666667,0.5666666666666667,26,0.11573076923076922,0.0,0.6319999999999999,0.08522499999999998
deepseek,A_E,5,Overall,195,0.03433846153846154,0.3066154981263049,0.5128205128205128,0.5128205128205128,95,0.07048421052631579,0.0,0.311,0.06951794871794871
deepseek,A_E,5,HVAC,70,0.03599285714285714,0.4324565368351143,0.32857142857142857,0.32857142857142857,47,0.0536063829787234,0.0,0.20699999999999985,0.037216666666666676
deepseek,A_E,5,Appliance,65,0.02801538461538462,0.2210672673043725,0.676923076923077,0.676923076923077,21,0.08671428571428572,0.0,0.22450000000000003,0.0898051282051282
deepseek,A_E,5,Shower,60,0.039258333333333326,0.25247820302312063,0.55,0.55,27,0.08724074074074073,0.0,0.311,0.08522499999999998
deepseek,A_H,1,Overall,195,0.0012717948717948715,0.02911107414913054,0.9230769230769231,0.9230769230769231,15,0.01653333333333333,0.0,0.046499999999999986,0.06951794871794871
deepseek,A_H,1,HVAC,70,0.0010214285714285724,0.017676950627576436,0.9285714285714286,0.9285714285714286,5,0.014300000000000012,0.0,0.025500000000000023,0.037216666666666676
deepseek,A_H,1,Appliance,65,0.00020769230769230703,0.001228948566226669,0.9846153846153847,0.9846153846153847,1,0.013499999999999956,0.0,0.013499999999999956,0.0898051282051282
deepseek,A_H,1,Shower,60,0.0027166666666666654,0.07265652097242285,0.85,0.85,9,0.018111111111111102,0.0,0.046499999999999986,0.08522499999999998
deepseek,A_H,2,Overall,194,0.002234536082474226,0.03199083267158636,0.8969072164948454,0.8969072164948454,20,0.021674999999999993,0.0,0.1040000000000002,0.06977835051546391
